Thermal conductivity of some common cryostat materials between 0.05 and 2 K,J.R. Olson,Cryogenics 1993 Vol 33  No 7
T (K),k (W/m/K),k/T
0.117,2.16E-04,1.84E-05
0.15,3.23E-04,2.15E-05
6.744,8.54E-02,1.27E-04
0.189,5.09E-04,2.69E-05
0.236,7.31E-04,3.10E-05
0.303,1.11E-03,3.67E-05
0.366,1.54E-03,4.20E-05
0.353,1.47E-03,4.16E-05
0.465,2.23E-03,4.80E-05
0.526,2.64E-03,5.01E-05
0.683,3.92E-03,5.74E-05
0.802,4.72E-03,5.88E-05
0.814,5.31E-03,6.52E-05
0.899,5.79E-03,6.44E-05
0.909,5.07E-03,5.58E-05
1.095,6.79E-03,6.20E-05
1.254,7.57E-03,6.04E-05
1.104,8.05E-03,7.29E-05
1.266,9.31E-03,7.35E-05
1.539,1.01E-02,6.55E-05
1.568,1.18E-02,7.55E-05
1.858,1.31E-02,7.05E-05
2.028,1.55E-02,7.64E-05
2.147,1.51E-02,7.04E-05
2.195,1.72E-02,7.82E-05
2.331,2.23E-02,9.56E-05
2.487,2.47E-02,9.93E-05
2.642,2.67E-02,1.01E-04
2.947,3.01E-02,1.02E-04
3.268,3.41E-02,1.04E-04
3.453,3.55E-02,1.03E-04
4.383,4.67E-02,1.06E-04
5.559,6.41E-02,1.15E-04
6.174,7.24E-02,1.17E-04
