Kapitza conductance and thermal conductivity of copper niobium and aluminium in the rage from 1.3 to 2.1 K,K. Mittag,Cryogenics 1973
T(K),k(W/m/K),k/T
1.40E+02,1.37E+00,1.02E+02
1.38E+02,1.41E+00,9.80E+01
1.40E+02,1.43E+00,9.76E+01
1.46E+02,1.46E+00,1.01E+02
1.47E+02,1.47E+00,1.01E+02
1.64E+02,1.60E+00,1.03E+02
1.61E+02,1.66E+00,9.70E+01
1.71E+02,1.70E+00,1.01E+02
1.74E+02,1.73E+00,1.01E+02
1.73E+02,1.74E+00,9.96E+01
1.73E+02,1.76E+00,9.82E+01
1.82E+02,1.80E+00,1.01E+02
1.82E+02,1.81E+00,1.01E+02
1.87E+02,1.84E+00,1.01E+02
1.87E+02,1.85E+00,1.01E+02
1.93E+02,1.86E+00,1.03E+02
1.89E+02,1.87E+00,1.01E+02
1.97E+02,1.97E+00,1.00E+02
1.96E+02,1.93E+00,1.01E+02
1.94E+02,1.89E+00,1.02E+02
2.11E+02,2.04E+00,1.03E+02
2.08E+02,2.02E+00,1.03E+02
2.14E+02,2.08E+00,1.03E+02
2.16E+02,2.12E+00,1.02E+02
2.29E+02,2.17E+00,1.06E+02
